grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
81,Decentralize Data NOW! Cat Her,0.0,1,1,1,2,0.0
58,Ironbelly - Grin mobile wallet,0.0,1,1,1,1,1.0
87,Kitsune-Wallet,0.0,1,1,1,1,1.0
141,MetaMoneyMarket,0.0,1,1,1,1,1.0
147,Trinity - Ethereum 2.0 client,0.0,1,1,1,1,1.0
206,PopLocker,0.0,1,1,1,1,1.0
267,SUMA - defi interest rate deri,0.0,1,1,1,1,1.0
341,KnownOrigin.io <> ART DAO,0.0,1,1,1,1,1.0
345,CoinJournal - Cryptocurrency N,0.0,1,1,1,1,1.0
348,EtherLoans - undercollateraliz,0.0,1,1,1,1,1.0
370,LTokens: Solving the paradox b,0.0,1,1,1,1,1.0
464,Lend and borrow Ethereum ERC-7,0.0,1,1,1,1,1.0
588,Atstake: A marketplace for any,0.0,1,1,1,1,1.0
688,TokenSmart,0.0,1,1,1,1,1.0
702,FH for #DigitalVsCovid Donatio,0.0,1,1,1,1,1.0
1266,The Giving Block - Making Cryp,0.0,1,1,1,1,1.0
1684,Virtual Reset,0.0,1,1,1,1,1.0
1751,CryptoChicks Hatchery,0.0,1,1,1,1,1.0
2212,DeFi Lab,0.0,1,1,1,1,1.0
2279,PoolTogether,0.0,1,1,1,1,1.0
2414,994.eth,0.0,1,1,1,1,1.0
2783,Dystopia Labs - IRL Summit & H,0.0,1,1,1,1,1.0
2959,Designing Gender Diversity in,0.0,1,1,1,1,1.0
3378,Bake My Token - Create your Et,0.0,1,1,1,1,1.0
3525,Flash3,0.0,1,1,1,1,1.0
4287,ZK Chat and Guild System in Da,0.0,1,1,1,1,1.0
4349,PLANET EARTH DAO - PLANETARY C,0.0,1,1,1,1,1.0
4382,"Miso - naming, identity, micro",0.0,1,1,1,1,1.0
4628,Project Solidarity,0.0,1,1,1,1,1.0
4768,SD-Cloud,0.0,1,1,1,1,1.0
4842,Open Source Window Mount Energ,0.0,1,1,1,1,1.0
4927,Unchained Music,0.0,1,1,1,1,1.0
4943,Engagemint,0.0,1,1,1,1,1.0
5898,Wisdom Wizards: Decentralized,0.0,1,1,1,1,1.0
5936,Web3 Library,0.0,1,1,1,1,1.0
5979,RTS + On-Chain Governance - Le,0.0,1,1,1,1,1.0
6077,Stitchia Network - The Sustain,0.0,1,1,1,1,1.0
6121,The V01D: A Nodal Creative Stu,0.0,1,1,1,1,1.0
6123,"LZero, the one-stop shop for a",0.0,1,1,1,1,1.0
6132,Agency Oakland,0.0,1,1,1,1,1.0
6213,ChainIDE- A web-based multicha,0.0,1,1,1,1,1.0
